info,nombre,categ,tipo,emisor,admin,ambito,tema,lon,lat,region,cut_reg,provincia,cut_pro,comuna,cut_com
Cuarteles de Carabineros,TENENCIA VISVIRI (F),Base,TENENCIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.47702097013651,-17.595014119695406,Arica y Parinacota,15,Parinacota,152,General Lagos,15202
Cuarteles de Carabineros,1RA. COM. ARICA,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.31180000039943,-18.478289999859044,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,2DA. COM. PUTRE,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.55935101360114,-18.195069384627516,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,3RA. COM. ARICA,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.29381000042522,-18.470430000365273,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,PREFECTURA DE CARABS. ARICA,Base,PREFECTURA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.31205999994053,-18.478160000442276,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,RETEN ALCERRECA (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.66040638565934,-17.992306253113505,Arica y Parinacota,15,Parinacota,152,General Lagos,15202
Cuarteles de Carabineros,RETEN CAQUENA (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.20179621488808,-18.054582827029094,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,RETEN CENTRAL (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.95927638900697,-18.361654722557553,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,RETEN CHAPIQUIÑA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.54841535376723,-18.37189662911085,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,ZONA DE CARABS. ARICA-PARINACOTA,Base,ZONA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.31206399987313,-18.478153000340182,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,RETEN CHILCAYA (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.08471177592213,-18.7940289303283,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,RETEN CODPA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.74426273395895,-18.833653146031065,Arica y Parinacota,15,Arica,151,Camarones,15102
Cuarteles de Carabineros,RETEN GUALLATIRE (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.1542838070828,-18.49725345834928,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,RETEN POCONCHILE (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.06649551767158,-18.451903270664804,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,RETEN SAN MIGUEL DE AZAPA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.17958358658686,-18.518914907229895,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,RETEN TACORA (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.72439764965509,-17.771957191849786,Arica y Parinacota,15,Parinacota,152,General Lagos,15202
Cuarteles de Carabineros,SUBCOM. CHACALLUTA (F),Base,SUBCOMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.30444199984265,-18.36166699973051,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,SUBCOM. CHINCHORRO NORTE,Base,SUBCOMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.29279000042278,-18.4458100002156,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,SUBCOM. I.A.T. ARICA,Base,SUBCOMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.30024999997379,-18.486210000078618,Arica y Parinacota,15,Arica,151,Arica,15101
Cuarteles de Carabineros,TENENCIA CARRETERA ARICA,Base,TENENCIA CARRETERAS,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.17924700007477,-19.160613000147475,Arica y Parinacota,15,Arica,151,Camarones,15102
Cuarteles de Carabineros,RETEN CHUCUYO (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.32150938884685,-18.21853562378845,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,TENENCIA CHUNGARA (F),Base,TENENCIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.13823533515523,-18.28164755518362,Arica y Parinacota,15,Parinacota,152,Putre,15201
Cuarteles de Carabineros,2DA. COM. POZO ALMONTE,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.78572082081911,-20.256168702156568,Tarapacá,01,Tamarugal,014,Pozo Almonte,01401
Cuarteles de Carabineros,1RA. COM. IQUIQUE,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.15077700024827,-20.21864200015827,Tarapacá,01,Iquique,011,Iquique,01101
Cuarteles de Carabineros,PREFECTURA DE CARABS. IQUIQUE,Base,PREFECTURA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.15291900030238,-20.214622000247243,Tarapacá,01,Iquique,011,Iquique,01101
Cuarteles de Carabineros,3RA. COM. ALTO HOSPICIO,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.09350499999583,-20.2732719999108,Tarapacá,01,Iquique,011,Alto Hospicio,01107
Cuarteles de Carabineros,RETEN CANCOSA (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.60156200043123,-19.854714999911995,Tarapacá,01,Tamarugal,014,Pica,01405
Cuarteles de Carabineros,RETEN LA TIRANA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.6591288665728,-20.33500022785393,Tarapacá,01,Tamarugal,014,Pozo Almonte,01401
Cuarteles de Carabineros,RETEN MAMIÑA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.21731381132543,-20.070741529622257,Tarapacá,01,Tamarugal,014,Pozo Almonte,01401
Cuarteles de Carabineros,RETEN PISAGUA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.2117410405986,-19.59626760327157,Tarapacá,01,Tamarugal,014,Huara,01404
Cuarteles de Carabineros,RETEN RIO LOA (M.C.),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.05673599966515,-21.424503000222153,Tarapacá,01,Iquique,011,Iquique,01101
Cuarteles de Carabineros,SUBCOM. COLCHANE (F),Base,SUBCOMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.63793334168591,-19.27638288270943,Tarapacá,01,Tamarugal,014,Colchane,01403
Cuarteles de Carabineros,SUBCOM. I.A.T. IQUIQUE,Base,SUBCOMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.13630099953467,-20.236423000357977,Tarapacá,01,Iquique,011,Iquique,01101
Cuarteles de Carabineros,ZONA DE CARABS. TARAPACÁ,Base,ZONA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.15291900021235,-20.21461899970217,Tarapacá,01,Iquique,011,Iquique,01101
Cuarteles de Carabineros,TENENCIA HUARA,Base,TENENCIA CARRETERAS,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.76706116664681,-19.995661800236913,Tarapacá,01,Tamarugal,014,Huara,01404
Cuarteles de Carabineros,TENENCIA UJINA (F),Base,TENENCIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.69484111742605,-20.70808055820458,Tarapacá,01,Tamarugal,014,Pica,01405
Cuarteles de Carabineros,TENENCIA PICA,Base,TENENCIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.33726079292676,-20.49665829468039,Tarapacá,01,Tamarugal,014,Pica,01405
Cuarteles de Carabineros,RETEN CAMIÑA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.42720989974143,-19.31274180342506,Tarapacá,01,Tamarugal,014,Camiña,01402
Cuarteles de Carabineros,1RA. COM. CALAMA,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.9294900003296,-22.456359999709342,Antofagasta,02,El Loa,022,Calama,02201
Cuarteles de Carabineros,1RA. COM. TALTAL,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.48447499953454,-25.41055299962434,Antofagasta,02,Antofagasta,021,Taltal,02104
Cuarteles de Carabineros,RETEN QUILLAGUA,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.551245999831,-21.62790899956439,Antofagasta,02,Tocopilla,023,María Elena,02302
Cuarteles de Carabineros,2DA. COM. ANTOFAGASTA,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.38300899983763,-23.61598999991373,Antofagasta,02,Antofagasta,021,Antofagasta,02101
Cuarteles de Carabineros,3RA. COM. ANTOFAGASTA,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.39919800027086,-23.64815999973598,Antofagasta,02,Antofagasta,021,Antofagasta,02101
Cuarteles de Carabineros,4TA. COM. TOCOPILLA,Base,COMISARIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.20041088702031,-22.092970986377484,Antofagasta,02,Tocopilla,023,Tocopilla,02301
Cuarteles de Carabineros,RETEN EL LACO,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-67.44144431414014,-23.825255338423503,Antofagasta,02,El Loa,022,San Pedro de Atacama,02203
Cuarteles de Carabineros,PREFECTURA DE CARABS. ANTOFAGASTA,Base,PREFECTURA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.3988999995669,-23.648101000159464,Antofagasta,02,Antofagasta,021,Antofagasta,02101
Cuarteles de Carabineros,PREFECTURA DE CARABS. EL LOA,Base,PREFECTURA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.92682000024988,-22.46082999988428,Antofagasta,02,El Loa,022,Calama,02201
Cuarteles de Carabineros,TENENCIA OLLAGÜE (F),Base,TENENCIA,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.2518529893874,-21.223569345138465,Antofagasta,02,El Loa,022,Ollagüe,02202
Cuarteles de Carabineros,RETEN ALEMANIA (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-69.97445287099734,-25.407592029778332,Antofagasta,02,Antofagasta,021,Taltal,02104
Cuarteles de Carabineros,RETEN ASCOTÁN (F),Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-68.2754434841213,-21.725129219863554,Antofagasta,02,El Loa,022,Ollagüe,02202
Cuarteles de Carabineros,RETEN HORNITOS,Base,RETEN,Carabineros de Chile,Carabineros de Chile,Sociedad y cultura,Infraestructura,-70.29341535655855,-22.91940634055369,Antofagasta,02,Antofagasta,021,Mejillones,02102
